first_day_of_month,cfips,microbusiness_density
153.0,1013,1.0608706
184.0,1013,1.0608706
213.0,1013,1.0091209
244.0,1013,0.99618345
274.0,1013,0.99618345
305.0,1013,1.0026522
335.0,1013,0.76330942
366.0,1013,0.76977813
397.0,1013,0.78271556
427.0,1013,0.80212176
458.0,1013,0.77624685
488.0,1013,0.76330942
519.0,1013,0.7610746
550.0,1013,1.7368113
578.0,1013,1.7303064
609.0,1013,1.7303064
639.0,1013,1.8604046
670.0,1013,1.8864243
700.0,1013,1.8864243
731.0,1013,1.8929292
762.0,1013,1.9189488
792.0,1013,1.9189488
823.0,1013,1.9514734
853.0,1013,1.9189488
884.0,1013,1.9771615
915.0,1013,1.944535
943.0,1013,1.9771615
974.0,1013,1.8531811
1004.0,1013,1.8075041
1035.0,1013,1.9836868
1065.0,1013,2.0424144
1096.0,1013,2.1076672
1127.0,1013,2.1663947
1157.0,1013,2.1859705
0.0,1015,2.6915436
31.0,1015,2.7037525
61.0,1015,2.6937635
92.0,1015,2.73927
122.0,1015,2.7292807
153.0,1015,2.7196281
184.0,1015,2.7452114
213.0,1015,2.7563348
244.0,1015,2.8186247
274.0,1015,2.8341973
305.0,1015,2.8531067
335.0,1015,2.8875887
366.0,1015,2.9176214
397.0,1015,2.8864763
427.0,1015,2.9064982
458.0,1015,2.8920381
488.0,1015,2.8831394
519.0,1015,2.8806906
550.0,1015,2.7022505
578.0,1015,2.6989048
609.0,1015,2.6899829
639.0,1015,2.6498339
670.0,1015,2.6420271
700.0,1015,2.6855218
731.0,1015,2.6710236
762.0,1015,2.6654472
792.0,1015,2.6888676
823.0,1015,2.6832914
853.0,1015,2.6966743
884.0,1015,2.7011335
915.0,1015,2.7067165
943.0,1015,2.7178829
974.0,1015,2.7078333
1004.0,1015,2.6910837
1035.0,1015,2.7245827
1065.0,1015,2.7826476
1096.0,1015,2.7882307
1127.0,1015,2.8094468
1157.0,1015,2.8005137
0.0,1017,1.4865423
31.0,1017,1.3551559
61.0,1017,1.3551559
92.0,1017,1.3626637
122.0,1017,1.3438942
153.0,1017,1.3199105
184.0,1017,1.3310962
213.0,1017,1.3012677
244.0,1017,1.3273677
274.0,1017,1.3422819
305.0,1017,1.3422819
335.0,1017,1.349739
366.0,1017,1.3795675
397.0,1017,1.3795675
427.0,1017,1.3795675
458.0,1017,1.3609247
488.0,1017,1.3385533
519.0,1017,1.3837187
550.0,1017,1.2821959
578.0,1017,1.2821959
609.0,1017,1.2934762
639.0,1017,1.2821959
670.0,1017,1.252115
700.0,1017,1.2709156
731.0,1017,1.2821959
762.0,1017,1.3536379
792.0,1017,1.3724384
823.0,1017,1.3761985
853.0,1017,1.4025192
884.0,1017,1.4123334
915.0,1017,1.4387674
943.0,1017,1.4576489
974.0,1017,1.4803066
1004.0,1017,1.4878592
1035.0,1017,1.4689778
1065.0,1017,1.5482799
1096.0,1017,1.5218458
1127.0,1017,1.5029644
1157.0,1017,1.4425437
0.0,1019,1.1042767
31.0,1019,1.0897467
61.0,1019,1.0849034
92.0,1019,1.0849034
122.0,1019,1.0897467
153.0,1019,1.079399
184.0,1019,1.0696747
213.0,1019,1.0745369
244.0,1019,1.0599504
274.0,1019,1.0842612
305.0,1019,1.0599504
335.0,1019,1.0745369
366.0,1019,1.2106773
397.0,1019,1.2058152
427.0,1019,1.2155395
458.0,1019,1.2349881
488.0,1019,1.264161
519.0,1019,1.2489108
550.0,1019,1.1859813
578.0,1019,1.1956627
609.0,1019,1.2343886
639.0,1019,1.2295479
670.0,1019,1.2150257
700.0,1019,1.2101849
731.0,1019,1.2150257
762.0,1019,1.2150257
792.0,1019,1.2005035
823.0,1019,1.2198664
853.0,1019,1.2150257
884.0,1019,1.1934196
915.0,1019,1.32655
943.0,1019,1.2171929
974.0,1019,1.2409662
1004.0,1019,1.2457209
1035.0,1019,1.117345
1065.0,1019,1.1411183
1096.0,1019,1.131609
1127.0,1019,1.131609
1157.0,1019,1.117345
0.0,1021,1.4253496
31.0,1021,1.4343708
61.0,1021,1.401293
92.0,1021,1.4494061
122.0,1021,1.4554203
153.0,1021,1.460205
184.0,1021,1.4692185
213.0,1021,1.4091278
244.0,1021,1.4511913
274.0,1021,1.4902502
305.0,1021,1.4782321
335.0,1021,1.4812367
366.0,1021,1.4902502
397.0,1021,1.472223
427.0,1021,1.4391731
458.0,1021,1.4031187
488.0,1021,1.3971096
519.0,1021,1.3853979
550.0,1021,1.5380012
578.0,1021,1.5649312
609.0,1021,1.6128067
639.0,1021,1.6128067
670.0,1021,1.6187911
700.0,1021,1.6397367
731.0,1021,1.6726511
762.0,1021,1.6546978
792.0,1021,1.6487134
823.0,1021,1.6517056
853.0,1021,1.6786356
884.0,1021,1.6673118
915.0,1021,1.6881531
943.0,1021,1.7179266
974.0,1021,1.7268586
1004.0,1021,1.7209039
1035.0,1021,1.7625867
1065.0,1021,1.8102242
1096.0,1021,1.7655641
1127.0,1021,1.7685415
1157.0,1021,1.8132015
0.0,1023,1.0494181
31.0,1023,1.0494181
61.0,1023,1.0684984
92.0,1023,1.0780386
122.0,1023,1.0494181
153.0,1023,1.0935252
184.0,1023,1.1223022
213.0,1023,1.1510792
244.0,1023,1.1798561
274.0,1023,1.1990408
305.0,1023,1.2757794
335.0,1023,1.2374101
366.0,1023,1.2182255
397.0,1023,1.2278178
427.0,1023,1.2182255
458.0,1023,1.1702638
488.0,1023,1.1702638
519.0,1023,1.1625654
550.0,1023,1.3272622
578.0,1023,1.3466382
609.0,1023,1.3757024
639.0,1023,1.3175741
670.0,1023,1.3078861
700.0,1023,1.3175741
731.0,1023,1.4144546
762.0,1023,1.4047666
792.0,1023,1.4435186
823.0,1023,1.4628948
853.0,1023,1.4532068
884.0,1023,1.4891741
915.0,1023,1.4793769
943.0,1023,1.5185657
974.0,1023,1.5087684
1004.0,1023,1.5185657
1035.0,1023,1.587146
1065.0,1023,1.6557264
1096.0,1023,1.6361321
1127.0,1023,1.6459292
1157.0,1023,1.6851181
0.0,1025,1.1564021
31.0,1025,1.0517503
61.0,1025,1.0465177
92.0,1025,1.0465177
122.0,1025,1.0465177
153.0,1025,1.0737972
184.0,1025,1.0211601
213.0,1025,1.042215
244.0,1025,1.0895884
274.0,1025,1.058006
305.0,1025,1.0264238
335.0,1025,1.042215
366.0,1025,1.058006
397.0,1025,1.0843247
427.0,1025,1.0527424
458.0,1025,1.0632699
488.0,1025,1.0632699
519.0,1025,1.0455921
550.0,1025,1.0084391
578.0,1025,1.0031315
609.0,1025,1.0296693
639.0,1025,1.0084391
670.0,1025,0.97659361
700.0,1025,0.99251634
731.0,1025,0.99251634
762.0,1025,0.99251634
792.0,1025,0.97659361
823.0,1025,1.0084391
853.0,1025,1.0880526
884.0,1025,1.0906758
915.0,1025,1.0746365
943.0,1025,1.0960222
974.0,1025,1.0853293
1004.0,1025,1.0853293
1035.0,1025,1.2189906
1065.0,1025,1.3205731
1096.0,1025,1.3473054
1127.0,1025,1.3526518
1157.0,1025,1.3526518
0.0,1027,1.3459716
31.0,1027,1.421801
61.0,1027,1.4502369
92.0,1027,1.5165877
122.0,1027,1.4976304
153.0,1027,1.4774126
184.0,1027,1.4963539
213.0,1027,1.5531774
244.0,1027,1.5058244
274.0,1027,1.5247656
305.0,1027,1.5531774
335.0,1027,1.5815892
366.0,1027,1.5437068
397.0,1027,1.5721185
427.0,1027,1.5437068
458.0,1027,1.5342362
488.0,1027,1.5058244
519.0,1027,1.5342362
550.0,1027,1.4774126
578.0,1027,1.467942
609.0,1027,1.4584714
639.0,1027,1.4205891
670.0,1027,1.4584714
700.0,1027,1.4395303
731.0,1027,1.4205891
762.0,1027,1.4111185
792.0,1027,1.4205891
823.0,1027,1.4963539
853.0,1027,1.467942
884.0,1027,1.4976304
915.0,1027,1.6777251
943.0,1027,1.6777251
974.0,1027,1.6682464
1004.0,1027,1.6777251
1035.0,1027,1.6872038
1065.0,1027,1.6492891
1096.0,1027,1.6208531
1127.0,1027,1.6208531
1157.0,1027,1.5829384
0.0,1029,1.1845658
31.0,1029,1.1932758
61.0,1029,1.2019858
92.0,1029,1.1671457
122.0,1029,1.1671457
153.0,1029,1.2608696
184.0,1029,1.2347826
213.0,1029,1.2869565
244.0,1029,1.2782608
274.0,1029,1.2869565
305.0,1029,1.2695652
335.0,1029,1.2521739
366.0,1029,1.2608696
397.0,1029,1.2695652
427.0,1029,1.2695652
458.0,1029,1.2347826
488.0,1029,1.2434783
519.0,1029,1.2312495
550.0,1029,1.3439695
578.0,1029,1.3092864
609.0,1029,1.3006157
639.0,1029,1.2659326
670.0,1029,1.2832741
700.0,1029,1.2746034
731.0,1029,1.2659326
762.0,1029,1.2832741
792.0,1029,1.2746034
823.0,1029,1.2832741
853.0,1029,1.2746034
884.0,1029,1.2951131
915.0,1029,1.2951131
943.0,1029,1.286479
974.0,1029,1.3210154
1004.0,1029,1.3210154
1035.0,1029,1.3210154
1065.0,1029,1.3555517
1096.0,1029,1.3469176
1127.0,1029,1.3641858
1157.0,1029,1.3555517
0.0,1031,2.0614057
31.0,1031,2.0819428
61.0,1031,2.0716743
92.0,1031,2.1204498
122.0,1031,2.1153154
153.0,1031,2.0906279
184.0,1031,2.0599587
213.0,1031,2.0982952
244.0,1031,2.0906279
274.0,1031,2.1008511
305.0,1031,2.0906279
335.0,1031,2.1085184
366.0,1031,2.0880721
397.0,1031,2.0778491
427.0,1031,2.0599587
458.0,1031,2.0395124
488.0,1031,2.0395124
519.0,1031,1.9998478
550.0,1031,2.0379159
578.0,1031,2.0303023
609.0,1031,2.035378
639.0,1031,2.0709083
670.0,1031,2.0658326
700.0,1031,2.078522
731.0,1031,2.078522
762.0,1031,2.0607567
792.0,1031,2.0658326
823.0,1031,2.075984
853.0,1031,2.1039007
884.0,1031,2.0884521
915.0,1031,2.0934663
943.0,1031,2.1235521
974.0,1031,2.1260593
1004.0,1031,2.1034949
1035.0,1031,2.1185379
1065.0,1031,2.1962593
1096.0,1031,2.1511307
1127.0,1031,2.1987665
1157.0,1031,2.2163165
0.0,1033,2.3123553
31.0,1033,2.3053339
61.0,1033,2.2772486
92.0,1033,2.3474617
122.0,1033,2.3146956
153.0,1033,2.2944016
184.0,1033,2.282743
213.0,1033,2.2944016
244.0,1033,2.3177187
274.0,1033,2.3130553
305.0,1033,2.315387
335.0,1033,2.315387
366.0,1033,2.3503625
397.0,1033,2.3456991
427.0,1033,2.3130553
458.0,1033,2.2897382
488.0,1033,2.3037283
519.0,1033,2.2305522
550.0,1033,2.2189829
578.0,1033,2.2236106
609.0,1033,2.2259245
639.0,1033,2.2351799
670.0,1033,2.2536905
700.0,1033,2.2421212
731.0,1033,2.2467489
762.0,1033,2.2259245
792.0,1033,2.2421212
823.0,1033,2.2444351
853.0,1033,2.2629459
884.0,1033,2.2643073
915.0,1033,2.2896197
943.0,1033,2.3241365
974.0,1033,2.3333411
1004.0,1033,2.3402443
1035.0,1033,2.3425455
1065.0,1033,2.3655567
1096.0,1033,2.3586533
1127.0,1033,2.3977726
1157.0,1033,2.441494
0.0,1035,0.73924053
31.0,1035,0.72911394
61.0,1035,0.73924053
92.0,1035,0.76962024
122.0,1035,0.75949365
153.0,1035,0.79083443
184.0,1035,0.77055663
213.0,1035,0.77055663
244.0,1035,0.78069556
274.0,1035,0.75027883
305.0,1035,0.79083443
335.0,1035,0.79083443
366.0,1035,0.79083443
397.0,1035,0.79083443
427.0,1035,0.84152895
458.0,1035,0.79083443
488.0,1035,0.78069556
519.0,1035,0.80694586
550.0,1035,1.011236
578.0,1035,1.011236
609.0,1035,2.0122573
639.0,1035,2.1246169
670.0,1035,2.1246169
700.0,1035,2.1144025
731.0,1035,2.1552606
762.0,1035,1.2155261
792.0,1035,1.1950971
823.0,1035,1.1746681
853.0,1035,1.1950971
884.0,1035,1.1993383
915.0,1035,1.2096775
943.0,1035,1.17866
974.0,1035,1.1476427
1004.0,1035,1.1373036
1035.0,1035,1.0545906
1065.0,1035,1.1476427
1096.0,1035,1.1579818
1127.0,1035,1.1373036
1157.0,1035,1.095947
0.0,1037,0.56353593
31.0,1037,0.55248618
61.0,1037,0.53038675
92.0,1037,0.519337
122.0,1037,0.50828731
153.0,1037,0.49972236
184.0,1037,0.49972236
213.0,1037,0.53303719
244.0,1037,0.52193224
274.0,1037,0.49972236
305.0,1037,0.57745695
335.0,1037,0.58856189
366.0,1037,0.58856189
397.0,1037,0.59966683
427.0,1037,0.57745695
458.0,1037,0.56635201
488.0,1037,0.57745695
519.0,1037,0.59178203
550.0,1037,0.71460474
578.0,1037,0.73693615
609.0,1037,0.74810183
639.0,1037,0.74810183
670.0,1037,0.74810183
700.0,1037,0.73693615
731.0,1037,0.73693615
762.0,1037,0.71460474
792.0,1037,0.70343906
823.0,1037,0.72577041
853.0,1037,0.71460474
884.0,1037,0.73883355
915.0,1037,0.69405574
943.0,1037,0.69405574
974.0,1037,0.69405574
1004.0,1037,0.72763908
1035.0,1037,0.75002801
1065.0,1037,0.79480577
1096.0,1037,0.8171947
1127.0,1037,0.8171947
1157.0,1037,0.82838911
0.0,1039,1.503708
31.0,1039,1.5378832
61.0,1039,1.5549707
92.0,1039,1.5583884
122.0,1039,1.5481358
153.0,1039,1.5397277
184.0,1039,1.5465862
213.0,1039,1.5397277
244.0,1039,1.5397277
274.0,1039,1.5260108
305.0,1039,1.5328692
335.0,1039,1.5397277
366.0,1039,1.5877371
397.0,1039,1.5945956
427.0,1039,1.5774493
458.0,1039,1.5465862
488.0,1039,1.5328692
519.0,1039,1.5325274
550.0,1039,1.6151806
578.0,1039,1.6324
609.0,1039,1.6324
639.0,1039,1.6289562
670.0,1039,1.6392878
700.0,1039,1.6289562
731.0,1039,1.6392878
762.0,1039,1.6427317
792.0,1039,1.6668389
823.0,1039,1.690946
853.0,1039,1.6633949
884.0,1039,1.6811354
915.0,1039,1.6914703
943.0,1039,1.6604657
974.0,1039,1.6604657
1004.0,1039,1.6501309
1035.0,1039,1.6604657
1065.0,1039,1.6811354
1096.0,1039,1.6742456
1127.0,1039,1.6673557
1157.0,1039,1.6845804
0.0,1041,0.92247486
31.0,1041,0.95042861
61.0,1041,0.91315693
92.0,1041,0.97838241
122.0,1041,0.92247486
153.0,1041,0.95822865
184.0,1041,0.97683507
213.0,1041,0.98613822
244.0,1041,1.0047446
274.0,1041,1.0140479
305.0,1041,1.069867
335.0,1041,1.116383
366.0,1041,1.0605638
397.0,1041,1.0884733
427.0,1041,1.069867
458.0,1041,1.023351
488.0,1041,1.0140479
519.0,1041,1.0243993
550.0,1041,0.9219594
578.0,1041,0.9219594
609.0,1041,0.89402121
639.0,1041,0.89402121
670.0,1041,0.9219594
700.0,1041,0.91264665
731.0,1041,0.94058484
762.0,1041,0.96852303
792.0,1041,0.95921028
823.0,1041,0.98714846
853.0,1041,0.99646115
884.0,1041,1.0053993
915.0,1041,1.0240179
943.0,1041,1.0891826
974.0,1041,1.1078012
1004.0,1041,1.1078012
1035.0,1041,1.1171104
1065.0,1041,1.1915845
1096.0,1041,1.0798734
1127.0,1041,1.0798734
1157.0,1041,1.0612549
0.0,1043,2.4879234
31.0,1043,2.4784517
61.0,1043,2.4926593
92.0,1043,2.4910808
122.0,1043,2.4831877
153.0,1043,2.4489732
184.0,1043,2.4081831
213.0,1043,2.4019077
244.0,1043,2.4819191
274.0,1043,2.4991763
305.0,1043,2.4913321
335.0,1043,2.5242779
366.0,1043,2.53526
397.0,1043,2.5148649
427.0,1043,2.5180025
458.0,1043,2.4364223
488.0,1043,2.4583862
519.0,1043,2.4318762
550.0,1043,2.4739664
578.0,1043,2.49735
609.0,1043,2.5020266
639.0,1043,2.4895554
670.0,1043,2.4755254
700.0,1043,2.5051444
731.0,1043,2.5144978
762.0,1043,2.5129387
792.0,1043,2.5222921
823.0,1043,2.5893247
853.0,1043,2.5955603
884.0,1043,2.5789783
915.0,1043,2.5867138
943.0,1043,2.6269376
974.0,1043,2.6161082
1004.0,1043,2.5836196
1035.0,1043,2.6238437
1065.0,1043,2.6733501
1096.0,1043,2.6748972
1127.0,1043,2.6841795
1157.0,1043,2.6872737
0.0,1045,1.3815006
31.0,1045,1.3682678
61.0,1045,1.3603282
92.0,1045,1.3920869
122.0,1045,1.3815006
153.0,1045,1.3934144
184.0,1045,1.3934144
213.0,1045,1.411958
244.0,1045,1.3987125
274.0,1045,1.3748709
305.0,1045,1.380169
335.0,1045,1.411958
366.0,1045,1.4066597
397.0,1045,1.4410977
427.0,1045,1.4252033
458.0,1045,1.4225543
488.0,1045,1.4093089
519.0,1045,1.4013512
550.0,1045,1.7048453
578.0,1045,1.7048453
609.0,1045,1.728597
639.0,1045,1.7048453
670.0,1045,1.6916499
700.0,1045,1.7048453
731.0,1045,1.7206799
762.0,1045,1.6969281
792.0,1045,1.6810937
823.0,1045,1.6969281
853.0,1045,1.7154016
884.0,1045,1.7068802
915.0,1045,1.7147825
943.0,1045,1.7121483
974.0,1045,1.7042462
1004.0,1045,1.6963439
1035.0,1045,1.7621957
1065.0,1045,1.806975
1096.0,1045,1.7753662
1127.0,1045,1.772732
1157.0,1045,1.7595617
0.0,1047,1.1604786
31.0,1047,1.196336
61.0,1047,1.2061154
92.0,1047,1.1865567
122.0,1047,1.1865567
153.0,1047,1.1967338
184.0,1047,1.1735926
213.0,1047,1.1802043
244.0,1047,1.1802043
274.0,1047,1.1967338
305.0,1047,1.2066514
335.0,1047,1.2165692
366.0,1047,1.2231809
397.0,1047,1.2264868
427.0,1047,1.2430162
458.0,1047,1.219875
488.0,1047,1.2430162
519.0,1047,1.2584119
550.0,1047,1.359354
578.0,1047,1.3660835
609.0,1047,1.3728129
639.0,1047,1.3694482
670.0,1047,1.3627187
700.0,1047,1.3660835
731.0,1047,1.3694482
762.0,1047,1.3694482
792.0,1047,1.3627187
823.0,1047,1.3963661
853.0,1047,1.4131898
884.0,1047,1.418709
915.0,1047,1.4290645
943.0,1047,1.4394201
974.0,1047,1.4394201
1004.0,1047,1.4394201
1035.0,1047,1.4670348
1065.0,1047,1.4981015
1096.0,1047,1.4739386
1127.0,1047,1.4670348
1157.0,1047,1.4739386
0.0,1049,2.1565704
31.0,1049,2.1192918
61.0,1049,2.1453867
92.0,1049,2.1248834
122.0,1049,2.1677539
153.0,1049,2.1742368
184.0,1049,2.1463141
213.0,1049,2.1463141
244.0,1049,2.1760983
274.0,1049,2.2040207
305.0,1049,2.1965749
335.0,1049,2.2263589
366.0,1049,2.2263589
397.0,1049,2.2244973
427.0,1049,2.2096055
458.0,1049,2.1909902
488.0,1049,2.1686523
519.0,1049,2.1877325
550.0,1049,2.2267659
578.0,1049,2.2342007
609.0,1049,2.2379181
639.0,1049,2.2472119
670.0,1049,2.2509294
700.0,1049,2.2620819
731.0,1049,2.2379181
762.0,1049,2.2286246
792.0,1049,2.2881041
823.0,1049,2.3104088
853.0,1049,2.3271375
884.0,1049,2.3176236
915.0,1049,2.3213229
943.0,1049,2.2917283
974.0,1049,2.310225
1004.0,1049,2.3028262
1035.0,1049,2.2750814
1065.0,1049,2.2713821
1096.0,1049,2.2510357
1127.0,1049,2.2473364
1157.0,1049,2.2713821
0.0,1051,2.5783718
31.0,1051,2.6373696
61.0,1051,2.6405587
92.0,1051,2.7091238
122.0,1051,2.6931787
153.0,1051,2.6963937
184.0,1051,2.6693981
213.0,1051,2.6693981
244.0,1051,2.6900418
274.0,1051,2.6773379
305.0,1051,2.7011576
335.0,1051,2.7218015
366.0,1051,2.7218015
397.0,1051,2.8361361
427.0,1051,2.84884
458.0,1051,2.8234322
488.0,1051,2.7980247
519.0,1051,2.7115951
550.0,1051,2.7243106
578.0,1051,2.7306683
609.0,1051,2.7433839
639.0,1051,2.7497418
670.0,1051,2.7624574
700.0,1051,2.7719939
731.0,1051,2.7656362
762.0,1051,2.8673608
792.0,1051,3.0120003
823.0,1051,3.2965112
853.0,1051,3.3362472
884.0,1051,3.3051851
915.0,1051,3.308342
943.0,1051,3.3162339
974.0,1051,3.3414884
1004.0,1051,3.3272827
1035.0,1051,3.3541157
1065.0,1051,3.4046247
1096.0,1051,3.3998895
1127.0,1051,3.2388918
1157.0,1051,3.2452056
0.0,1053,1.645063
31.0,1053,1.6895243
61.0,1053,1.675844
92.0,1053,1.6963644
122.0,1053,1.6826841
153.0,1053,1.6551725
184.0,1053,1.6344827
213.0,1053,1.6655172
244.0,1053,1.6482759
274.0,1053,1.6482759
305.0,1053,1.6931034
335.0,1053,1.6965517
366.0,1053,1.7206897
397.0,1053,1.7413793
427.0,1053,1.7482759
458.0,1053,1.7586207
488.0,1053,1.7413793
519.0,1053,1.727554
550.0,1053,1.5746115
578.0,1053,1.5780876
609.0,1053,1.6197991
639.0,1053,1.5989434
670.0,1053,1.6024193
700.0,1053,1.633703
731.0,1053,1.6406549
762.0,1053,1.633703
792.0,1053,1.6545588
823.0,1053,1.6962703
853.0,1053,1.7101742
884.0,1053,1.7276423
915.0,1053,1.7416596
943.0,1053,1.7521727
974.0,1053,1.836277
1004.0,1053,1.8397813
1035.0,1053,1.8643117
1065.0,1053,1.9133726
1096.0,1053,1.8888421
1127.0,1053,1.9133726
1157.0,1053,1.948416
0.0,1055,2.3228111
31.0,1055,2.3004766
61.0,1055,2.304199
92.0,1055,2.316607
122.0,1055,2.3203297
153.0,1055,2.2502418
184.0,1055,2.2291651
213.0,1055,2.2291651
244.0,1055,2.2552009
274.0,1055,2.249002
305.0,1055,2.2837164
335.0,1055,2.298594
366.0,1055,2.3345482
397.0,1055,2.3531454
427.0,1055,2.3432269
458.0,1055,2.3122318
